Type,Title,Organization,Status,Availability or Year,Geography,Covered States,Coverage Note,Coverage Source URL,Community,Community Type,Best For,Project Stage,Type of Help,Topics,Summary,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,USDA Forest Service - Forest Legacy Program,USDA Forest Service,Open when checked,"Deadline for FY2028 funding consideration: September 21, 2026.",California,,,,,,"Communities, land trusts, and conservation organizations working through their state lead agency",Acquisition; conservation,Grant,forest conservation; easement; acquisition; recreation; habitat; water quality; working lands,Provides grants to state agencies to permanently conserve important forest lands through purchases or conservation easements.,Check with the program,See program,https://www.fs.usda.gov/managing-land/private-land/forest-legacy,2026-06-23,RERC-FND-0054
Funding,Colorado Creative Districts,"Colorado Creative Industries, OEDIT",Open when checked,certification cycle varies,Colorado,,,,,,"structured local entities including governments, downtown authorities, nonprofits",Mixed,Grant,"creative_placemaking, heritage_tourism, downtown, arts","Helps recreation towns connect arts, culture, downtown identity, and visitor spending.","up to $10,000 for newly certified districts plus TA",local match required,https://oedit.colorado.gov/colorado-creative-districts,2026-06-09,RERC-FND-0071
Funding,Revitalizing Main Streets Program,Colorado DOT,Recurring,Check with the program,Colorado,,,,,,"Local Governments, Business Improvement Districts, Council of Governments, on behalf of a local jurisdiction and with proof of support from that local jurisdiction, University or College",Mixed,Grant,Infrastructure; Economic Development; Energy/Climate,Enhances active transportation safety and strengthens the connection of people to main streets and central economic hubs.,"Up to $250,000","Yes, 10%",https://www.codot.gov/programs/revitalizingmainstreets,2026-06-09,RERC-FND-0079
Funding,Transportation Alternatives Program,Colorado Department of Transportation,Recurring,currently closed; next grant period anticipated October 2026,Colorado,,,,,,"local governments, transportation authorities, transit agencies, natural resource agencies, school districts, tribes",Mixed,Grant,"active_transportation, bike_ped, trails, overlooks, historic_preservation","Funds bike, pedestrian, trail, overlook, and main-street access projects tied to outdoor tourism.",varies by region and solicitation,usually federal match structure; confirm regional guidance,https://www.codot.gov/programs/planning/grants/tap,2026-06-09,RERC-FND-0081
Funding,Charge Ahead Colorado,Colorado Energy Office and Regional Air Quality Council,Open when checked,"Recurring competitive rounds, Spring 2026 round noted",Colorado,,,,,,"Public, workplace, multifamily, community, and other publicly available charging sites",Mixed,Rebate,"EV charging, visitor infrastructure, clean transportation","Helps rural destinations add EV charging at trailheads, downtowns, lodging nodes, and visitor centers.",Varies by charger type and solicitation,Varies by solicitation,https://climate.colorado.gov/charge-ahead-colorado,2026-06-09,RERC-FND-0069
Funding,Colorado Community Revitalization Tax Credit,"Colorado OEDIT, Colorado Creative Industries, Business Funding and Incentives",Open when checked,2026 program guidance and tax-year use,Colorado,,,,,,Capital improvement projects supporting creative industries and workers,Mixed,Rebate,"adaptive reuse, creative districts, mixed-use, downtown revitalization","Useful for reuse of historic or vacant buildings into recreation-economy anchors, maker space, lodging, or community venues.","Income tax credit, program cap reported at about $10M per year",See program,https://oedit.colorado.gov/programs-and-funding/tax-credits/colorado-community-revitalization-tax-credit,2026-06-09,RERC-FND-0070
Funding,Non-Motorized Trails Grants,Colorado Parks and Wildlife,Recurring,next cycle opens 2026-08-01; deadline in October,Colorado,,,,,,"local, county, federal, tribal governments, districts, 501(c)(3)s",Mixed,Grant,"trail_construction, trail_maintenance, trail_planning, stewardship",Trail systems are core visitor infrastructure for RERC communities.,"up to $250,000 construction or maintenance; up to $45,000 planning or support; up to $150,000 stewardship",25% of grant request; 10% of minimum match cash,https://cpw.state.co.us/non-motorized-trails-grants,2026-06-09,RERC-FND-0076
Funding,Partners in the Outdoors Grant Program,Colorado Parks and Wildlife,Open when checked,applications open 2026-06-01; due 2026-07-17,Colorado,,,,,,"nonprofits, tribes, school districts, government entities",Implementation,Grant,"outdoor_access, stewardship, education, partnerships","Useful for small early-win projects, partner events, and outdoor stewardship capacity.","up to $10,000",Not required; strongly recommended,https://cpw.state.co.us/partners-outdoors-grant,2026-06-09,RERC-FND-0078
Funding,Colorado Outdoor Regional Partnerships Initiative Grant Program,Colorado Parks and Wildlife and Great Outdoors Colorado,Recurring,Awards recur; check with the program for the next application window.,Colorado,,,,,,"Regional partnerships, tribes, multi-jurisdictional coalitions",Mixed,Grant,"outdoor recreation, conservation, regional capacity, climate resilience",Funds collaborative outdoor recreation and conservation work beyond standard trail grants.,"About $10M annually, $50M over 2025-2030",Not stated,https://cpw.state.co.us/colorado-outdoor-regional-partnerships-initiative-grant-program,2026-07-13,RERC-FND-0072
Funding,Outdoor Regional Partnerships Initiative Grant Program,Colorado Parks and Wildlife and Great Outdoors Colorado,Open when checked,2026 cycle opened 2026-04-27; final applications due 2026-07-22 by invite,Colorado,,,,,,"tribes, local governments, districts, nonprofits, partnership fiscal sponsors",Mixed,Grant,"outdoor_recreation, conservation, regional_planning, trails",Funds regional recreation and conservation coalitions that rural RERC towns need to implement action plans.,"$50,000 to $2,500,000","Not mandatory on page, match improves competitiveness",https://cpw.state.co.us/colorado-outdoor-regional-partnerships-initiative-grant-program,2026-06-09,RERC-FND-0077
Funding,Tourism Management Grant,Colorado Tourism Office,Recurring,FY25 closed; usual application period December to January,Colorado,,,,,,"nonprofit destination organizations, tourism industry associations, government entities",Implementation,Grant,"tourism_management, visitor_experience, destination_stewardship",Funds visitor experience and stewardship projects that RERC towns often identify.,"up to $20,000","4:1 state-to-local; $5,000 local for $20,000 grant example",https://oedit.colorado.gov/tourism-management-grant,2026-06-09,RERC-FND-0080
Funding,Community Impact Grants,Great Outdoors Colorado,Open when checked,concept papers due 2026-07-23 and 2027-01-21,Colorado,,,,,,"cities, towns, counties, special districts, land conservation organizations, CPW",Mixed,Grant,"parks, trails, outdoor_access, stewardship","Supports parks, trails, natural areas, and outdoor amenities that anchor rural recreation economies.","$100,000 to $2,000,000; larger awards considered FY2027",Varies by budget,https://goco.org/grants/programs/community-impact,2026-06-09,RERC-FND-0073
Funding,GOCO Land Acquisition Program,Great Outdoors Colorado,Open when checked,"Concept papers due 2026-07-23, applications due 2026-09-10, urgent acquisitions accepted anytime",Colorado,,,,,,"Local governments, special districts, land conservation organizations, CPW",Acquisition,Loan,"land conservation, open space, public access, waterways",Supports land-trust and local acquisition projects that can secure recreation access and conservation assets.,"Generally up to $3M per project, larger high-impact awards possible","Leverage scored, no fixed match stated",https://goco.org/grants/programs/land-acquisition,2026-06-09,RERC-FND-0075
Funding,Community Revitalization Tax Credit,OEDIT and Colorado Creative Industries,Open when checked,program years 2025-2029; 2026 rules posted by OEDIT,Colorado,,,,,,"qualified capital projects in creative districts, historic districts, neighborhood commercial centers, or main streets",Mixed,Rebate,"creative_industry, main_street, historic_district, capital_project",Supports catalytic downtown and creative-industry facilities in rural visitor centers.,"up to $3,000,000 credit; up to 25% eligible expenses; $10M annual cap 2025-2029",private capital required,https://oedit.colorado.gov/programs-and-funding/tax-credits/colorado-community-revitalization-tax-credit,2026-06-09,RERC-FND-0074
Funding,Brownfield Municipal Grant Program,CT DECD Office of Brownfield Remediation and Development,Recurring,Round 23 materials posted 2026-01-23; periodic NOFAs,Connecticut,,,,,,"municipalities, economic development agencies, Connecticut brownfield land banks",Mixed,Grant,"brownfields, redevelopment, downtown, economic_development","Converts vacant or contaminated sites into trailheads, waterfront access, lodging, food, or downtown reuse projects.","up to $4,000,000 depending on NOFA",varies by round,https://portal.ct.gov/decd/content/community-development/03_funding_opportunities/brownfields-remediation/brownfield-municipal-grant-program,2026-06-09,RERC-FND-0082
Funding,Connecticut Recreational Trails Program,CT DEEP,Recurring,2025-26 round opened 2025-09-23; application deadline 2025-12-18,Connecticut,,,,,,"municipalities, nonprofits, trail sponsors, public agencies",Mixed,Grant,"trails, accessibility, trailheads, maintenance","Direct trail funding for walk, bike, paddle, and outdoor access actions.",up to 80% of total project cost,20% match; in-kind allowed,https://portal.ct.gov/DEEP/Outdoor-Recreation/Trails/CRT--Funding,2026-06-09,RERC-FND-0085
Funding,Open Space and Watershed Land Acquisition Grant Program,CT DEEP,Recurring,2025 round due 2025-11-03; next round not posted,Connecticut,,,,,,"municipalities, nonprofit land conservation organizations, water companies",Acquisition,Grant,"open_space, conservation, recreation_access, land_acquisition",Protects outdoor assets and public access that underpin recreation-based rural economies.,varies,cost share required; applicant must show match availability,https://portal.ct.gov/DEEP/Open-Space/Open-Space-and-Watershed-Land-Acquisition-Grant-Program,2026-06-09,RERC-FND-0089
Funding,Local Transportation Capital Improvement Program,CTDOT through regional COGs,Recurring,FY2026 regional rounds; SECOG preliminary scoping was due 2025-11-14,Connecticut,,,,,,municipalities through regional councils of governments,Mixed,Grant,"regional_transportation, sidewalks, multiuse_trails, complete_streets",Regional trail and sidewalk funding can connect rural town centers to recreation assets.,varies,not specified on SECOG summary,https://secogct.gov/local-transportation-capital-improvement-program,2026-06-09,RERC-FND-0088
